"","plot_id","ID","AGB","DataFile","FileTitle","Total.return.count","Total.return.count.above.2.00","Return.1.count.above.2.00","Return.2.count.above.2.00","Return.3.count.above.2.00","Return.4.count.above.2.00","Return.5.count.above.2.00","Return.6.count.above.2.00","Return.7.count.above.2.00","Return.8.count.above.2.00","Return.9.count.above.2.00","Other.return.count.above.2.00","Elev.minimum","Elev.maximum","Elev.mean","Elev.mode","Elev.stddev","Elev.variance","Elev.CV","Elev.IQ","Elev.skewness","Elev.kurtosis","Elev.AAD","Elev.MAD.median","Elev.MAD.mode","Elev.L1","Elev.L2","Elev.L3","Elev.L4","Elev.L.CV","Elev.L.skewness","Elev.L.kurtosis","Elev.P01","Elev.P05","Elev.P10","Elev.P20","Elev.P25","Elev.P30","Elev.P40","Elev.P50","Elev.P60","Elev.P70","Elev.P75","Elev.P80","Elev.P90","Elev.P95","Elev.P99","Canopy.relief.ratio","Elev.SQRT.mean.SQ","Elev.CURT.mean.CUBE","Int.minimum","Int.maximum","Int.mean","Int.mode","Int.stddev","Int.variance","Int.CV","Int.IQ","Int.skewness","Int.kurtosis","Int.AAD","Int.L1","Int.L2","Int.L3","Int.L4","Int.L.CV","Int.L.skewness","Int.L.kurtosis","Int.P01","Int.P05","Int.P10","Int.P20","Int.P25","Int.P30","Int.P40","Int.P50","Int.P60","Int.P70","Int.P75","Int.P80","Int.P90","Int.P95","Int.P99","Percentage.first.returns.above.2.00","Percentage.all.returns.above.2.00","X.All.returns.above.2.00.....Total.first.returns....100","First.returns.above.2.00","All.returns.above.2.00","Percentage.first.returns.above.mean","Percentage.first.returns.above.mode","Percentage.all.returns.above.mean","Percentage.all.returns.above.mode","X.All.returns.above.mean.....Total.first.returns....100","X.All.returns.above.mode.....Total.first.returns....100","First.returns.above.mean","First.returns.above.mode","All.returns.above.mean","All.returns.above.mode","Total.first.returns","Total.all.returns"
"1",1,"T1_P1",259.085979199999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_1.laz","WebModelingApp_plot_1",163196,158933,100253,58680,0,0,0,0,0,0,0,0,2.01,51.540001,23.004575,21.664762,8.302693,68.934716,0.360915,10.370001,-0.120809,3.319898,6.475876,5.209999,5.475237,23.004575,4.629803,-0.204207,0.666418,0.201256,-0.044107,0.143941,3.18,7.49,11.63,16.92,18.33,19.360001,21.33,23.139999,25.200001,27.610001,28.700001,29.93,33.040001,34.849998,46.09,0.423876,24.456998,25.643311,1,43,12.279332,1,8.356426,69.829852,0.680528,14,0.433287,2.190472,7.164937,12.279332,4.756881,0.539927,0.082553,0.387389,0.113504,0.017354,1,1,2,4,5,6,8,11,14,17,19,20,24,27,31,99.048569,97.387804,157.023593,100253,158933,59.346348,67.808449,49.417878,56.660702,79.679102,91.357098,60068,68633,80648,92468,101216,163196
"2",2,"T1_P2",167.567309999999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_2.laz","WebModelingApp_plot_2",124899,115831,76822,39009,0,0,0,0,0,0,0,0,2.01,37.02,18.547262,24.238572,8.764969,76.824676,0.472575,14.279999,-0.272186,2.008072,7.542292,6.309999,5.568572,18.547262,4.996839,-0.426354,0.164896,0.269411,-0.085325,0.033,2.3,3.61,5.18,9.11,10.93,12.97,17.379999,20.76,22.74,24.360001,25.209999,26.209999,28.469999,31.049999,35.240002,0.472358,20.514018,21.877843,1,44,12.633319,1,8.386167,70.327799,0.663813,14,0.357557,2.086972,7.21948,12.633319,4.791519,0.452925,0.05544,0.379276,0.094526,0.01157,1,1,2,4,5,6,9,12,15,18,19,21,24,27,31,96.151295,92.739734,144.975406,76822,115831,62.339011,35.042617,53.153348,28.594304,83.091981,44.700051,49807,27998,66388,35714,79897,124899
"3",5,"T2_P1",225.457288599999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_5.laz","WebModelingApp_plot_5",172241,163533,108402,55131,0,0,0,0,0,0,0,0,2.01,37.41,22.336908,31.229047,8.756066,76.668696,0.392,12.84,-0.601055,2.423107,7.195534,6.269999,7.429048,22.336908,4.933624,-0.750424,0.323322,0.220873,-0.152104,0.065534,2.6,5.08,8.37,14.31,16.83,18.610001,21.700001,23.799999,25.98,28.57,29.67,30.709999,32.380001,33.630001,35.490002,0.574206,23.991783,25.134635,1,188,14.879186,1,15.556317,241.998985,1.045509,15,4.331818,30.374286,9.276226,14.879186,6.557131,1.903746,1.406948,0.440691,0.290332,0.214568,1,1,2,4,5,7,9,13,16,19,20,22,26,30,99,97.695545,94.944293,147.381465,108402,163533,64.300327,22.237944,54.299499,15.904459,84.288791,24.688398,71347,24675,93526,27394,110959,172241
"4",6,"T2_P2",262.1915945,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_6.laz","WebModelingApp_plot_6",201415,199075,118668,80407,0,0,0,0,0,0,0,0,2.01,42.790001,24.875137,29.843969,7.287056,53.101188,0.292945,8.780001,-0.938105,3.266508,5.767423,3.889999,3.863969,24.875137,3.968749,-0.876166,0.503192,0.159547,-0.220766,0.126788,4.6,10.25,13.2,18.959999,21.41,23,25.129999,26.74,28.280001,29.639999,30.190001,30.700001,32.25,33.650002,36.34,0.560695,25.92052,26.680135,1,187,15.053422,1,16.817642,282.833081,1.117197,15,3.645952,20.876559,10.17665,15.053422,7.17137,2.568735,1.784149,0.476395,0.358193,0.248788,1,1,2,4,5,6,8,12,15,18,20,22,27,33,100,99.93263,98.83822,167.644929,118668,199075,75.480008,40.177519,60.67274,27.910533,102.910365,47.340587,89631,47710,122204,56216,118748,201415
"5",7,"T2_P3",199.295725,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_7.laz","WebModelingApp_plot_7",142307,138772,89273,49499,0,0,0,0,0,0,0,0,2.01,43.720001,20.981457,25.844286,6.758015,45.670763,0.322095,9.549999,-0.395798,3.074106,5.500862,4.689999,4.594286,20.981457,3.784616,-0.383762,0.395242,0.180379,-0.101401,0.104434,3.5471,8.28,11.89,15.43,16.42,17.33,19.870001,22.059999,23.73,25.219999,25.969999,26.709999,28.690001,30.16,33.43,0.454842,22.042957,22.887297,1,188,17.539143,1,19.677691,387.211509,1.12193,16,3.32124,16.7423,11.719654,17.539143,8.397707,3.162029,2.359611,0.478798,0.376535,0.280983,1,1,3,5,6,7,10,14,17,20,22,24,30,49,112,99.568369,97.515934,154.77582,89273,138772,64.627482,33.825563,54.030371,25.269312,85.75619,40.107071,57945,30328,76889,35960,89660,142307
"6",8,"T2_P4",279.9630667,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_8.laz","WebModelingApp_plot_8",160632,156782,97735,59047,0,0,0,0,0,0,0,0,2.01,42.68,21.666456,23.313333,7.266985,52.809069,0.335403,8.949999,-0.581966,3.242864,5.687819,4.190001,4.123333,21.666456,4.001079,-0.594113,0.581574,0.184667,-0.148488,0.145354,3.27,6.95,10.49,16.049999,17.780001,19.18,21.389999,23.09,24.469999,25.959999,26.73,27.43,29.18,30.719999,39.240002,0.483316,22.85266,23.740365,1,178,16.861374,1,19.37989,375.580122,1.149366,16,3.458288,17.883593,11.413394,16.861374,8.156487,3.092481,2.287617,0.483738,0.379144,0.280466,1,1,2,4,5,7,10,13,16,20,21,23,28,45,112,99.651294,97.603217,159.856031,97735,156782,70.848415,60.543247,57.227078,47.283854,93.727377,77.442214,69486,59379,91925,75953,98077,160632
"7",9,"T3_P1",242.2509785,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_9.laz","WebModelingApp_plot_9",145708,141152,88507,52645,0,0,0,0,0,0,0,0,2.01,40.849998,20.968625,26.670316,9.033155,81.597892,0.430794,13.57,-0.010813,2.141982,7.542151,6.699999,7.790318,20.968625,5.189567,-0.009409,0.300215,0.247492,-0.001813,0.05785,2.82,6.09,8.87,12.36,13.73,15.29,18.469999,21.040001,23.790001,26.360001,27.299999,28.66,34.118999,35.610001,37.73,0.488121,22.831569,24.297523,1,55,17.296028,1,11.876551,141.052458,0.686663,21,0.267913,1.889903,10.400212,17.296028,6.803409,0.526422,-0.092423,0.393351,0.077376,-0.013585,1,1,2,5,6,8,12,16,21,25,27,29,34,37,42,98.910395,96.873198,157.743457,88507,141152,57.599294,34.085067,48.765339,27.413045,79.407032,44.638028,51541,30500,71055,39943,89482,145708
"8",10,"T3_P2",190.779401699999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_10.laz","WebModelingApp_plot_10",98308,93491,59309,34182,0,0,0,0,0,0,0,0,2.01,45.98,18.622832,11.083175,10.452813,109.261304,0.56129,17.24,0.404689,2.088326,8.96162,7.809999,7.266826,18.622832,5.962085,0.655865,0.167987,0.320149,0.110006,0.028176,2.51,4.16,5.93,8.96,10.08,11.2,13.4,16.6,20.469999,24.66,27.32,29.690001,33.240002,37.605,41.130001,0.377822,21.355796,23.528383,1,58,16.317827,1,11.567524,133.807617,0.708889,19,0.441916,2.166899,9.942472,16.317827,6.581636,0.781243,0.07457,0.40334,0.1187,0.01133,1,1,2,5,6,7,11,15,19,23,25,28,33,37,43,97.409914,95.100094,153.550898,59309,93491,50.180666,76.630096,42.882573,67.057615,69.239234,108.272838,30553,46657,42157,65923,60886,98308
"9",11,"T3_P3",301.199910999999,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_11.laz","WebModelingApp_plot_11",190180,184824,107858,76966,0,0,0,0,0,0,0,0,2.01,48.669998,23.865475,21.266507,10.49408,110.125708,0.439718,16.230001,0.056945,2.251801,8.709133,7.919999,7.933494,23.865475,6.008021,0.100506,0.426409,0.251745,0.016729,0.070973,2.93,6.27,9.64,14.92,16.49,17.93,20.57,22.73,25.940001,30.75,32.720001,34.369999,37.669998,40.950001,45.467701,0.468399,26.070789,27.825098,1,53,13.280321,1,10.16113,103.248571,0.765127,17,0.685363,2.530517,8.625557,13.280321,5.686223,1.039188,0.171231,0.428169,0.182755,0.030113,1,1,2,4,4,5,8,11,15,19,21,23,28,32,39,99.032246,97.183721,169.700309,107858,184824,52.229323,66.468341,44.090861,55.393837,76.990598,96.727633,56884,72392,83852,105348,108912,190180
"10",12,"T3_P4",179.5560714,"C:\NRS_404_504\00_app\01_data\processing\07_polyclipdata\WebModelingApp_plot_12.laz","WebModelingApp_plot_12",187196,164116,104703,59413,0,0,0,0,0,0,0,0,2.01,37.91,19.704924,32.211587,10.881351,118.403803,0.552215,20.879999,-0.044483,1.668619,9.500094,10.450001,12.261586,19.704924,6.268127,-0.100532,-0.202081,0.3181,-0.016039,-0.032239,2.17,3,4.48,7.73,9.84,11.91,16.049999,19.950001,23.02,28.51,30.719999,32.080002,34.07,35.150002,36.709999,0.492895,22.509712,24.437103,1,57,13.702052,1,10.06315,101.266983,0.734426,16,0.631548,2.582175,8.499353,13.702052,5.66042,0.889098,0.191882,0.413107,0.157073,0.033899,1,1,2,4,5,6,9,12,15,19,21,23,28,32,39,92.202223,87.670677,144.521742,104703,164116,54.894415,24.510823,44.432573,16.943204,73.24539,27.930221,62337,27834,83176,31717,113558,187196
